method,model,scenario,metric,value
mean_mode,lr,internal_train,NPV,0.7851990382046486
mean_mode,lr,internal_val,NPV,0.7708333333333334
mean_mode,lr,internal_test,NPV,0.7861885790172642
mean_mode,lr,external_main,NPV,0.7741687979539642
mean_mode,lr,external_transfer,NPV,0.7741687979539642
mean_mode,rf,internal_train,NPV,0.9057539682539684
mean_mode,rf,internal_val,NPV,0.7608200455580866
mean_mode,rf,internal_test,NPV,0.7697841726618705
mean_mode,rf,external_main,NPV,0.776260243357338
mean_mode,rf,external_transfer,NPV,0.776260243357338
mean_mode,extra_trees,internal_train,NPV,0.9555218599949457
mean_mode,extra_trees,internal_val,NPV,0.7586605080831409
mean_mode,extra_trees,internal_test,NPV,0.7695167286245354
mean_mode,extra_trees,external_main,NPV,0.7834809796769151
mean_mode,extra_trees,external_transfer,NPV,0.7834809796769151
mean_mode,gb,internal_train,NPV,0.7600168705187684
mean_mode,gb,internal_val,NPV,0.7334669338677354
mean_mode,gb,internal_test,NPV,0.7419354838709677
mean_mode,gb,external_main,NPV,0.759304118035675
mean_mode,gb,external_transfer,NPV,0.759304118035675
mean_mode,adaboost,internal_train,NPV,0.7238248940891668
mean_mode,adaboost,internal_val,NPV,0.7235462345090562
mean_mode,adaboost,internal_test,NPV,0.7330049261083744
mean_mode,adaboost,external_main,NPV,0.7675862068965518
mean_mode,adaboost,external_transfer,NPV,0.7675862068965518
mean_mode,lgb,internal_train,NPV,0.9863523573200992
mean_mode,lgb,internal_val,NPV,0.752046783625731
mean_mode,lgb,internal_test,NPV,0.7478991596638656
mean_mode,lgb,external_main,NPV,0.7683601609657947
mean_mode,lgb,external_transfer,NPV,0.7683601609657947
mean_mode,xgb,internal_train,NPV,0.9095348239527112
mean_mode,xgb,internal_val,NPV,0.7656441717791411
mean_mode,xgb,internal_test,NPV,0.7703045685279187
mean_mode,xgb,external_main,NPV,0.7751014884979702
mean_mode,xgb,external_transfer,NPV,0.7751014884979702
mean_mode,lr,internal_train,Precision,0.5882157123834887
mean_mode,lr,internal_val,Precision,0.5777777777777777
