iter	Passed	Remaining
553	5660	2513
554	5671	2503
555	5682	2493
556	5691	2483
557	5702	2473
558	5711	2462
559	5719	2451
560	5728	2440
561	5738	2430
562	5747	2419
563	5755	2408
564	5761	2396
565	5770	2385
566	5780	2375
567	5790	2364
568	5799	2354
569	5807	2343
570	5816	2332
571	5824	2321
572	5833	2310
573	5843	2300
574	5853	2290
575	5863	2280
576	5873	2269
577	5883	2259
578	5893	2249
579	5903	2239
580	5912	2228
581	5925	2219
582	5935	2209
583	5943	2198
584	5950	2186
585	5958	2175
586	5967	2165
587	5976	2154
588	5985	2144
589	5995	2133
590	6004	2123
591	6012	2112
592	6020	2101
593	6028	2090
594	6036	2079
595	6045	2069
596	6054	2058
597	6064	2048
598	6073	2037
599	6081	2027
600	6088	2016
601	6097	2005
602	6106	1995
603	6117	1985
604	6127	1974
605	6136	1964
606	6146	1954
607	6156	1944
608	6166	1933
609	6176	1923
610	6186	1913
611	6195	1903
612	6204	1892
613	6214	1882
614	6223	1872
615	6233	1861
616	6242	1851
617	6252	1841
618	6261	1831
619	6271	1820
620	6279	1810
621	6289	1799
622	6297	1789
623	6306	1778
624	6316	1768
625	6325	1758
626	6335	1747
627	6343	1737
628	6353	1727
629	6362	1716
630	6371	1706
631	6380	1696
632	6389	1685
633	6398	1675
634	6408	1665
635	6418	1655
636	6427	1644
637	6438	1634
638	6447	1624
639	6457	1614
640	6466	1604
641	6475	1593
642	6483	1583
643	6492	1572
644	6501	1562
645	6512	1552
646	6521	1542
647	6531	1532
648	6541	1521
649	6549	1511
650	6559	1501
651	6569	1491
652	6579	1481
653	6589	1470
654	6600	1461
655	6609	1450
656	6619	1440
657	6629	1430
658	6638	1420
659	6649	1410
660	6658	1400
661	6668	1390
662	6677	1379
663	6687	1369
664	6697	1359
665	6707	1349
666	6717	1339
667	6728	1329
668	6737	1319
669	6746	1308
670	6756	1298
671	6767	1288
672	6775	1278
673	6785	1268
674	6795	1258
675	6805	1248
676	6814	1238
677	6824	1227
678	6833	1217
679	6843	1207
680	6852	1197
681	6862	1187
682	6871	1177
683	6881	1166
684	6890	1156
685	6900	1146
686	6910	1136
687	6920	1126
688	6930	1116
689	6940	1106
690	6950	1096
691	6959	1086
692	6970	1076
693	6979	1066
694	6989	1055
695	6999	1045
696	7009	1035
697	7018	1025
698	7027	1015
699	7037	1005
700	7047	995
701	7057	985
702	7066	975
703	7077	965
704	7087	955
705	7097	945
706	7107	934
707	7115	924
708	7125	914
709	7135	904
710	7145	894
711	7156	884
712	7166	874
713	7176	864
714	7185	854
715	7195	844
716	7206	834
717	7216	824
718	7227	814
719	7237	804
720	7247	794
721	7257	784
722	7267	774
723	7277	763
724	7285	753
725	7295	743
726	7305	733
727	7315	723
728	7324	713
729	7333	703
730	7342	693
731	7352	683
732	7362	672
733	7372	662
734	7382	652
735	7392	642
736	7403	632
737	7412	622
738	7422	612
739	7432	602
740	7443	592
741	7453	582
742	7463	572
743	7473	562
744	7482	552
745	7492	542
746	7501	532
747	7510	522
748	7519	512
749	7528	501
750	7537	491
751	7547	481
752	7556	471
753	7565	461
754	7575	451
755	7585	441
756	7595	431
757	7604	421
758	7614	411
759	7624	401
760	7633	391
761	7643	381
762	7653	371
763	7663	361
764	7673	351
765	7682	340
766	7692	330
767	7701	320
768	7711	310
769	7721	300
770	7732	290
771	7742	280
772	7751	270
773	7761	260
774	7771	250
775	7781	240
776	7790	230
777	7800	220
778	7809	210
779	7819	200
780	7828	190
781	7838	180
782	7848	170
783	7858	160
784	7867	150
785	7877	140
786	7887	130
787	7896	120
788	7906	110
789	7916	100
790	7926	90
791	7936	80
792	7946	70
793	7955	60
794	7965	50
795	7975	40
796	7985	30
797	7995	20
798	8006	10
799	8016	0
