comparable_itearn,pred,ci_lo,ci_hi,P_overall,P_nonlin
1070.4224824120604,0.3774510261850101,0.0,1.0,1.0191575694484811e-07,1.0
1111.5925778894473,0.37724308760836095,0.0,1.0,1.0191575694484811e-07,1.0
1152.7626733668342,0.376943807113831,0.0,1.0,1.0191575694484811e-07,1.0
1193.932768844221,0.3768112217941096,0.0,1.0,1.0191575694484811e-07,1.0
1235.1028643216082,0.37653356908758917,0.0,1.0,1.0191575694484811e-07,1.0
1276.272959798995,0.3762595784997654,0.0,1.0,1.0191575694484811e-07,1.0
1317.443055276382,0.37597134706478796,0.0,1.0,1.0191575694484811e-07,1.0
1358.6131507537689,0.3756921506765096,0.0,1.0,1.0191575694484811e-07,1.0
1399.7832462311558,0.3754595501112597,0.0,1.0,1.0191575694484811e-07,1.0
1440.953341708543,0.3751858707477651,0.0,1.0,1.0191575694484811e-07,1.0
1482.1234371859298,0.37491227112018577,0.0,1.0,1.0191575694484811e-07,1.0
1523.2935326633167,0.3746083652356509,0.0,1.0,1.0191575694484811e-07,1.0
1564.4636281407036,0.37431170544925585,0.0,1.0,1.0191575694484811e-07,1.0
1605.6337236180905,0.37398477428060667,0.0,1.0,1.0191575694484811e-07,1.0
1646.8038190954776,0.3736722427691673,0.0,1.0,1.0191575694484811e-07,1.0
1687.9739145728645,0.3733526767325843,0.0,1.0,1.0191575694484811e-07,1.0
1729.1440100502514,0.37299396616917524,0.0,1.0,1.0191575694484811e-07,1.0
1770.3141055276383,0.3726799860539964,0.0,1.0,1.0191575694484811e-07,1.0
1811.4842010050252,0.3722270449559817,0.0,1.0,1.0191575694484811e-07,1.0
1852.654296482412,0.3718937237293212,0.0,1.0,1.0191575694484811e-07,1.0
1893.8243919597992,0.37153558382068536,0.0,1.0,1.0191575694484811e-07,1.0
1934.994487437186,0.37112772572312513,0.0,1.0,1.0191575694484811e-07,1.0
1976.164582914573,0.3706541997111916,0.0,1.0,1.0191575694484811e-07,1.0
2017.3346783919599,0.3702520758704847,0.0,1.0,1.0191575694484811e-07,1.0
2058.504773869347,0.3697914560608342,0.0,1.0,1.0191575694484811e-07,1.0
2099.674869346734,0.3693488442119299,0.0,1.0,1.0191575694484811e-07,1.0
2140.844964824121,0.36891710948657047,0.0,1.0,1.0191575694484811e-07,1.0
2182.0150603015077,0.3684607294355275,0.0,1.0,1.0191575694484811e-07,1.0
2223.1851557788946,0.36801168246110433,0.0,1.0,1.0191575694484811e-07,1.0
2264.3552512562815,0.36749015242952515,0.0,1.0,1.0191575694484811e-07,1.0
2305.5253467336684,0.36699197291318,0.0,1.0,1.0191575694484811e-07,1.0
2346.6954422110553,0.366481677971353,0.0,1.0,1.0191575694484811e-07,1.0
2387.865537688442,0.3658849421359329,0.0,1.0,1.0191575694484811e-07,1.0
2429.0356331658295,0.3653496467999,0.0,1.0,1.0191575694484811e-07,1.0
2470.2057286432164,0.364789049585567,0.0,1.0,1.0191575694484811e-07,1.0
2511.3758241206033,0.3642376524878612,0.0,1.0,1.0191575694484811e-07,1.0
2552.54591959799,0.3636645421427478,0.0,1.0,1.0191575694484811e-07,1.0
2593.716015075377,0.3630657948728428,0.0,1.0,1.0191575694484811e-07,1.0
2634.886110552764,0.3623854946457062,0.0,1.0,1.0191575694484811e-07,1.0
2676.056206030151,0.36179448220635635,0.0,1.0,1.0191575694484811e-07,1.0
2717.2263015075378,0.3611459073451381,0.0,1.0,1.0191575694484811e-07,1.0
