comparable_hexp,pred,ci_lo,ci_hi,P_overall,P_nonlin
2401.5888442211053,0.41775018244518913,0.0,1.0,0.0029620232741597308,1.0
2435.897256281407,0.4186746265191738,0.0,1.0,0.0029620232741597308,1.0
2470.2056683417086,0.41967396510409055,0.0,1.0,0.0029620232741597308,1.0
2504.5140804020098,0.4205698433883745,0.0,1.0,0.0029620232741597308,1.0
2538.8224924623114,0.4214848482372102,0.0,1.0,0.0029620232741597308,1.0
2573.130904522613,0.4225195271251248,0.0,1.0,0.0029620232741597308,1.0
2607.4393165829147,0.4233015706389982,0.0,1.0,0.0029620232741597308,1.0
2641.747728643216,0.42435980229656145,0.0,1.0,0.0029620232741597308,1.0
2676.0561407035175,0.4251949538861716,0.0,1.0,0.0029620232741597308,1.0
2710.364552763819,0.42613500980419405,0.0,1.0,0.0029620232741597308,1.0
